scode,year,n_deploy,n_intent,n_landing,n_claims,n_hard,directions,countries,regions,top_signal,top_chunk,top_quote,overseas_demand,overseas_sub_count,overseas_rev_share,province,window_type,stage_layer,score
600261,2022,0,3,0,3,0,"['channel_supply_chain', 'market_expansion']",[],[],v21_c00022100#1,v21_c00022100,公司将会在国内和国际市场继续全面布局电商和新渠道。,1.0,,0.0,浙江省,layout_unknown,prep,4
600487,2019,2,0,2,2,2,"['capacity_production', 'channel_supply_chain']","['南非', '印度', '印度尼西亚', '埃及', '巴基斯坦', '法国', '肯尼亚']",[],v21_c00023103#1,v21_c00023103,"PEACE跨洋海缆通信系统运营项目按计划稳步推进。公司已与多个沿线登录国签署登陆合作协议,并已获得巴基斯坦、埃及、法国及肯尼亚的项目许可与勘探许可,并开始推进登陆站及相关基础设施建设。",1.0,,0.0,江苏省,layout_unknown,landing,7
600690,2019,2,0,0,2,2,['channel_supply_chain'],"['埃及', '英国']",[],v21_c00024536#3,v21_c00024536,"海尔英国和Candy旗下高端品牌Hoover通过服务整合,改善工程师服务时效,上门时效同比将提升50%,成本降低60%,为海尔英国高端品牌战略落地提供保障。",1.0,,0.0,山东省,layout_unknown,prep,6
600690,2021,3,2,1,5,3,"['channel_supply_chain', 'local_organization_readiness', 'market_expansion']",[],[],v21_c00024599#1,v21_c00024599,"在海外市场,坚定人单合一转型方向,聚焦全球第一的目标,推进高端品牌转型。",1.0,,0.0,山东省,layout_unknown,landing,13
601222,2018,0,1,0,1,0,['market_expansion'],[],[],v21_c00025748#2,v21_c00025748,"未来,22/199续为更多的战略大客户提供定向开发、建设、运营各类光伏电站,全面推进公司海内外EPC系统集成业务",1.0,,0.0,江苏省,layout_unknown,prep,1
601222,2021,6,9,0,15,6,"['local_organization_readiness', 'market_expansion', 'rd_localization']",[],"['一带一路', '全球', '欧洲', '海外']",v21_c00025837#1,v21_c00025837,"紧跟海外智能电网建设及AMI系统部署加快的市场机遇,持续加大海外智能配用电产品及系统方案的研发力度,通过收购、合资、深度合作等模式,扩大海外市场辐射区域,实现海外智能配用电业务的快速发展。",1.0,,0.0,江苏省,layout_unknown,prep,29
601877,2019,2,0,1,2,2,['market_expansion'],['澳大利亚'],['欧洲'],v21_c00026303#2,v21_c00026303,加大在欧洲与澳洲地区的项目开发储备，为未来几年做好业务准备,1.0,,0.0,浙江省,layout_unknown,landing,6
603215,2022,2,5,3,7,2,"['capacity_production', 'investment_ma', 'market_expansion']","['土耳其', '德国', '法国', '美国', '英国']",['东南亚'],v21_c00027867#1,v21_c00027867,"计划将在国内外市场同步发力,积极争取品牌客户的全新合作",1.0,,0.0,浙江省,layout_unknown,landing,13
603728,2018,1,0,1,1,1,['channel_supply_chain'],['德国'],['海外'],v21_c00030527#3,v21_c00030527,公司新设立的海外分支安浦鸣志德国尚在布局阶段,1.0,,0.0,上海市,layout_unknown,landing,3
605365,2023,1,4,1,5,1,"['capacity_production', 'market_expansion']",[],['海外'],v21_c00032273#1,v21_c00032273,"2024年公司将持续优化并完善全球布局:坚持“国内国外双循环”策略,积极拓展海外市场",1.0,,0.0,福建省,layout_unknown,landing,8
688223,2023,2,3,0,5,2,"['channel_supply_chain', 'market_expansion']","['越南', '马来西亚']",['全球'],v21_c00033010#2,v21_c00033010,"在进一步优化供应链专业化管理、建立溯源体系、打造安全、稳定、可靠、合规、绿色的供应生态链的基础上,充分发掘潜在能力与资源,积极应对贸易政策的不确定性",,29.0,0.0,江西省,label_incomplete,prep,10
688472,2023,4,4,3,8,4,"['capacity_production', 'local_organization_readiness', 'market_expansion']",['泰国'],['海外'],v21_c00035059#1,v21_c00035059,海外市场品牌渠道能力,1.0,,0.0,江苏省,layout_unknown,landing,18
